user_input,response,reference,retrieved_contexts,response_normal,response_no_exec,response_no_severity
TC-011:Broken Images Test,P2,P2,"['This test verifies that there are no broken images on the Warranties Form page. The objective is to ensure that all images are loading properly and contribute to a positive user experience.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nThen Check all images on the Warranties Form Page are valid\nAll images should be valid (not broken)']",P1,P1,P2
TC-012:Validate Intro Text,P2,P2,"['This test checks the accuracy of the introductory text on the tankless condensing page. The objective is to confirm that the introductory content is aligned with the page\'s theme and product information.\nGiven go to the ""rheem"" comm\nWhen click on the products button\nAnd click on residential\nAnd click on tankless condensing\nThen Check the intro text is correct\nIntro text should be correct']",P2,P2,P3
TC-013:Verify Contact Us Button,P1,P1,"['This test ensures that the ""Contact Us"" button on the Residential Resource Center page functions correctly, directing users to the correct contact page. The objective is to validate that the button works as intended and users can easily find contact information.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the Resource Center button\nWhen click on Contact Us button\nThen should be directed to the contact rheem page\nUser should be redirected to the Contact Rheem page']",P1,P1,P2
TC-014: Verify the title of the Water Heating Commercial page,P2,P1,"['This test ensures that the title of the Water Heating Commercial page is displayed correctly.\nGiven Go to ""rheem""\nWhen click on the products button home page\nAnd click on the commercial button\nThen click the water heating button\nThen check title the Water Heating page\nThe title of the Water Heating Commercial page should be displayed correctly.']",P2,P2,P2
TC-015: Check the left panel products name Water Heating Commercial page,P2,P1,"['This test ensures that all product names in the left panel are listed correctly.\nGiven Go to ""rheem""\nWhen click on the products button home page\nAnd click on the commercial button\nThen click the water heating button\nAnd click the more button on left side Water Heating page\nThen check whether the names of all products are correct Water Heating\nAll product names in the left panel should be correctly listed and match the expected values.']",P1,P1,P3
TC-016: Verify the ribbon headers on the Water Heating Commercial page,P3,P2 ,"['This test ensures that the ribbon\n headers are displayed correctly \nand have accurate text.\nGiven Go to ""rheem""\nWhen click on the products button home page\nAnd click on the commercial button\nThen click the water heating button\nThen ribbons is displayed on the left top of the image and check the texts all headers Water Heating Commercial page\nAll ribbon headers should be displayed correctly and contain the expected text.']",P3,P3,P3
TC-017: Test correct page is opened,P1,P1,"['This test verifies that the correct Water Heating page opens upon navigation.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nThen should be redirected to the water heating page\nThe user should be successfully redirected to the Water Heating page.']",P2,P2,P2
TC-018: Tankless Water Heaters detail viewing,P2,P2 ,"['This test ensures that clicking on Tankless Water Heaters opens the correct detail page.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nWhen clicked Tankless Water Heaters\nThen the detail page appears.\nThe user should see the detailed page of Tankless Water Heaters.']",P2,P2,P2
TC-019: Test hyperlinked text 'Gas Water Heaters' is clickable,P2,P2 ,"['This test ensures that clicking the hyperlinked text \'Gas Water Heaters\' redirects correctly.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nWhen clicked hyperlinked text\nThen should be redirected to the gas water heaters page\nThe user should be successfully redirected to the Gas Water Heaters page.']",P2,P2,P2
TC-020: Testing the Clickability of Sub-Menus under 'Water Heating' Menu,P1,P1,"['This test ensures that each sub-menu under \'Water Heating\' is functional and can be clicked.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nWhen water heating menu is visible\nAnd the user clicks on each sub-menu\nThen the user verifies that the corresponding sub-menu is clickable\nAll sub-menus under \'Water Heating\' should be clickable and functional.']",P3,P3,P2
TC-021: Test Rheem Residential Water Heaters header is visible,P3,P2 ,"['This test ensures that the header for Rheem Residential Water Heaters is correctly displayed.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nThen Rheem Residential Water Heaters header is displayed on the page\nThe Rheem Residential Water\n Heaters header should be visible.']",P3,P3,P3
TC-022: Verify Main Title on Commercial Project Sizing Page,P1,P2 ,"['Verifies that the main title on the Commercial Product Sizing Page is correct.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on commercial button\nAnd click on the Project Sizing button\nThen verify main title is correct\nThe main title should be displayed correctly on the page.']",P3,P3,P2
TC-026: Verify Click Action on Commercial Project Sizing Page,P1,P1,"['Verifies that clicking functionality works as expected on the Commercial Product Sizing Page.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on commercial button\nAnd click on the Project Sizing button\nThen should be clicked\nClick action should be successfully performed.']",P3,P3,P2
TC-027: Verify Revit Files & Install Diagrams Panel Navigation,P1,P1,"['Tests if the Revit Files button navigates correctly.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on commercial buttonn\nWhen click on the \'Revit Files\' button\nThen should be redirected to the \'Revit Files \' page\nUser should be redirected to the Revit Files page.']",P3,P3,P2
TC-028: Verify Multiple BIM Resources Panel Navigations,P1,P2 ,"['Verifies that multiple interactions with the BIM Resources button result in proper redirection.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on commercial button\nAnd click on the Project Sizing button\nWhen click on the \'BIM Resources\' button\nThen should be redirected to the \'BIM Resources page\' page\nUser should be redirected to the BIM Resources page upon multiple clicks.']",P3,P3,P2
TC-032: Navigate to the Commercial Resource Center Page,P1,P3,"[""Ensures successful navigation to the Commercial Resource Center Page.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nUser should be redirected to the Commercial Resource Center page.""]",P3,P3,P2
TC-033: Verify Commercial Resource Center Header,P2,P2 ,"[""Verifies that the Commercial Resource Center header is displayed correctly.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nThen Commercial Resource Center header is displayed on the page\nThe Commercial Resource Center header should be visible on the page.""]",P2,P2,P2
TC-034: Broken Image Test on Commercial Resource Center Page,P3,P2 ,"[""Ensures that all images on the Commercial Resource Center page are properly loaded and not broken.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nThen Verify the validity of each image on the website.\nAll images should be valid and properly displayed on the page.""]",P3,P3,P2
TC-036: Verify Commercial Resource Center Header,P2,P1,"[""Verifies that the Commercial Resource Center header is correctly displayed.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nThen Commercial Resource Center header is displayed on the page\nThe Commercial Resource Center header should be visible on the page.""]",P2,P2,P2
TC-037: Broken Image Testing on Commercial Resource Center Page,P3,P2 ,"[""Ensures that all images on the Commercial Resource Center Page are valid.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nThen Verify the validity of each image on the website.\nAll images should be properly loaded and displayed.""]",P3,P3,P2
TC-038: Navigate to the Featured Innovations Page,P1,P1,"[""Ensures successful navigation to the Featured Innovations Page.\nGiven go to 'rheem'\nWhen click on the products button\nAnd click on residential\nAnd click on featured innovations\nUser should be redirected to the Featured Innovations Page.""]",P3,P3,P2
TC-039: Broken Image Test on Featured Innovations Page,P3,P2 ,"[""Ensures that there are no broken images on the Featured Innovations Page.\nGiven go to 'rheem'\nWhen click on the products button\nAnd click on residential\nAnd click on featured innovations\nThen check all images on the page are valid\nAll images should be properly loaded and displayed.""]",P3,P3,P2
TC-040: Verify Product Listing on Featured Innovations Page,P1,P1,"[""Verifies that all expected products are listed on the Featured Innovations Page.\nGiven go to 'rheem'\nWhen click on the products button\nAnd click on residential\nAnd click on featured innovations\nThen confirm that all of the expected products are listed\nAll expected products should be displayed correctly on the page.""]",P3,P3,P2
TC-041: Verify Motto Title on Featured Innovations Page,P2,P3,"[""Ensures that the motto title on the Featured Innovations Page is correct.\nGiven go to 'rheem'\nWhen click on the products button\nAnd click on residential\nAnd click on featured innovations\nThen confirm that motto title is correct\nThe motto title should be displayed correctly on the page.""]",P2,P2,P2
TC-042: Navigate to the Commercial Featured Innovations Page,P1,P2 ,"[""Ensures successful navigation to the Commercial Featured Innovations Page.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nUser should be redirected to the Commercial Featured Innovations Page.""]",P3,P3,P2
TC-043: Verify Title of the Commercial Featured Innovations Page,P2,P2 ,"[""Verifies that the title on the Commercial Featured Innovations Page is correct.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nThen check title the page\nThe title should be displayed correctly on the page.""]",P2,P2,P2
TC-044: Verify Ribbon Headers on the Commercial Featured Innovations Page,P2,P3,"[""Verifies that the ribbon headers are displayed properly on the Commercial Featured Innovations Page.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nThen ribbons is displayed on the left top of the image and check the texts all headers\nRibbon headers should be correctly displayed with proper texts.""]",P2,P2,P2
TC-045: Verify Image Links and Sizes on the Commercial Featured Innovations Page,P3,P2 ,"[""Ensures that all images on the Commercial Featured Innovations Page are correctly linked and sized.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nThen All images links are controlled with size\nAll image links should be valid, and images should have correct sizes.""]",P3,P3,P2
TC-046: Verify Texts and Titles on the Commercial Featured Innovations Page,P2,P1,"[""Ensures that all texts and titles on the Commercial Featured Innovations Page are correct and contain trademarks where applicable.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nAnd verify the titles of the texts\nThen verify the texts contains ® or ™ or Rheem\nAll texts and titles should be correctly displayed, containing appropriate trademarks.""]",P2,P2,P2
TC-047: Test Rheem  Residential Water  Heaters text is  visible and true,P3,P2 ,"['This test ensures that the descriptive text for Rheem Residential Water Heaters is accurate.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nThen Rheem Residential Water Heaters text is displayed on the page\nThe Rheem Residential Water\n Heaters text should be\n correctly displayed.']",P3,P3,P2
TC-048: Test Explore  Products panel's products and more button are visible,P2,P2 ,"['This test ensures that the \'Explore Products\' panel correctly displays products and that the more button functions.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nWhen clicked more button\nThen verify text in the Explore Products panel\'s products\nThe \'Explore Products\' panel \nshould show the expected\n products and the more \nbutton should work.']",P2,P2,P2
TC-049: Testing  that the correct  page is opened,P1,P1,"['This test ensures that the Warranties Form page redirects to the correct page.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nThen should be redirected to the commercial resource center page\nThe user should be\nsuccessfully redirected\nto the commercial resource\n center page.']",P3,P3,P2
TC-050: Main title test of Warranties Page,P3,P3,"['This test ensures that the main title on the Warranties Form Page is correct.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nThen verify the main title is correct\nThe main title of the page should be\n correct and displayed properly.']",P3,P3,P2
"TC-051: Testing  Register Your  Product, Your Warranty, and Need Warranty Service Panels' Headers",P3,P3,"['This test ensures that the headers of warranty-related panels are displayed correctly.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nThen verify headers are correct\nThe headers of the ""Register Your Product"", ""Your Warranty"", and ""Need Warranty Service"" panels should be correct.']",P3,P3,P2
"TC-052: Testing that ""Where's my serial number"" hypertext",P2,P1,"['This test ensures that clicking on the ""Where\'s my serial number"" link redirects to the correct pop-up.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nWhen click on hyperTexts\nThen should be redirected to the correct pop-up\nThe ""Where\'s my serial number"" hypertext should open the correct pop-up.']",P2,P2,P2
"TC-053: Testing that ""Register Your Product"" Panel's Buttons Lead to Correct Pages",P1,P1,"['This test ensures that the ""Register Your Product"" panel buttons lead to their respective pages.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nWhen click on ""<Button>"" button\n\nwater heating >>>>>>>> \tWater Heating Warranty Registration Page\nheating and cooling>>>>>>>> \tHeating and Cooling Warranty Registration Page\npool and spa>>>>>>>> \tPool and Spa Warranty Registration Page\nwater heating verify>>>>>>>> \tWater Heating Verification Page\nheating and cooling verify>>>>>>>> \tHeating and Cooling Verification Page\nClicking on each button should correctly redirect to its respective page.']",P3,P3,P2
